	ensembl_id	gene_name
571	ENSG00000196517	SLC6A9
572	ENSG00000171872	KLF17
573	ENSG00000178028	DMAP1
574	ENSG00000117419	ERI3
575	ENSG00000187147	RNF220
576	ENSG00000126106	TMEM53
577	ENSG00000198520	ARMH1
578	ENSG00000142945	KIF2C
579	ENSG00000142937	RPS8
580	ENSG00000142959	BEST4
581	ENSG00000173846	PLK3
582	ENSG00000188396	DYNLT4
583	ENSG00000222009	BTBD19
584	ENSG00000117425	PTCH2
585	ENSG00000070785	EIF2B3
586	ENSG00000126107	HECTD3
587	ENSG00000126088	UROD
588	ENSG00000162415	ZSWIM5
589	ENSG00000186603	HPDL
590	ENSG00000132781	MUTYH
591	ENSG00000132773	TOE1
592	ENSG00000070759	TESK2
593	ENSG00000280670	CCDC163
594	ENSG00000132763	MMACHC
595	ENSG00000117450	PRDX1
596	ENSG00000117448	AKR1A1
597	ENSG00000132780	NASP
598	ENSG00000159588	CCDC17
599	ENSG00000159592	GPBP1L1
600	ENSG00000159596	TMEM69
601	ENSG00000197429	IPP
602	ENSG00000086015	MAST2
603	ENSG00000117461	PIK3R3
604	ENSG00000117472	TSPAN1
605	ENSG00000250719	P3R3URF
606	ENSG00000085998	POMGNT1
607	ENSG00000171357	LURAP1
608	ENSG00000085999	RAD54L
609	ENSG00000132128	LRRC41
610	ENSG00000173660	UQCRH
611	ENSG00000117481	NSUN4
612	ENSG00000117480	FAAH
613	ENSG00000197587	DMBX1
614	ENSG00000282881	TMEM275
615	ENSG00000162456	KNCN
616	ENSG00000079277	MKNK1
617	ENSG00000142961	MOB3C
618	ENSG00000123472	ATPAF1
619	ENSG00000186118	TEX38
620	ENSG00000159658	EFCAB14
621	ENSG00000142973	CYP4B1
622	ENSG00000187048	CYP4A11
623	ENSG00000186377	CYP4X1
624	ENSG00000186160	CYP4Z1
625	ENSG00000162365	CYP4A22
626	ENSG00000162366	PDZK1IP1
627	ENSG00000162367	TAL1
628	ENSG00000123473	STIL
629	ENSG00000162368	CMPK1
630	ENSG00000186790	FOXE3
631	ENSG00000186564	FOXD2
632	ENSG00000269113	TRABD2B
633	ENSG00000117834	SLC5A9
634	ENSG00000132122	SPATA6
635	ENSG00000186094	AGBL4
636	ENSG00000162373	BEND5
637	ENSG00000162374	ELAVL4
638	ENSG00000142700	DMRTA2
639	ENSG00000185104	FAF1
640	ENSG00000123080	CDKN2C
641	ENSG00000204006	C1orf185
642	ENSG00000123091	RNF11
643	ENSG00000085831	TTC39A
644	ENSG00000085832	EPS15
645	ENSG00000117859	OSBPL9
646	ENSG00000078618	NRDC
647	ENSG00000117862	TXNDC12
648	ENSG00000198841	KTI12
649	ENSG00000134717	BTF3L4
650	ENSG00000157077	ZFYVE9
651	ENSG00000154222	CC2D1B
652	ENSG00000085840	ORC1
653	ENSG00000134748	PRPF38A
654	ENSG00000134744	TUT4
655	ENSG00000116157	GPX7
656	ENSG00000182183	SHISAL2A
657	ENSG00000162377	COA7
658	ENSG00000162378	ZYG11B
659	ENSG00000203995	ZYG11A
660	ENSG00000121310	ECHDC2
661	ENSG00000116171	SCP2
662	ENSG00000174348	PODN
663	ENSG00000162383	SLC1A7
664	ENSG00000157184	CPT2
665	ENSG00000162384	CZIB
666	ENSG00000162385	MAGOH
667	ENSG00000157193	LRP8
668	ENSG00000143006	DMRTB1
669	ENSG00000174332	GLIS1
670	ENSG00000058804	NDC1
671	ENSG00000058799	YIPF1
672	ENSG00000211452	DIO1
673	ENSG00000081870	HSPB11
674	ENSG00000116212	LRRC42
675	ENSG00000203985	LDLRAD1
676	ENSG00000116209	TMEM59
677	ENSG00000116205	TCEANC2
678	ENSG00000157211	CDCP2
679	ENSG00000215883	CYB5RL
680	ENSG00000116221	MRPL37
681	ENSG00000157216	SSBP3
682	ENSG00000162390	ACOT11
683	ENSG00000162391	FAM151A
684	ENSG00000184313	MROH7
685	ENSG00000243725	TTC4
686	ENSG00000162396	PARS2
687	ENSG00000006555	TTC22
688	ENSG00000162398	LEXM
689	ENSG00000116133	DHCR24
690	ENSG00000143001	TMEM61
691	ENSG00000162399	BSND
692	ENSG00000169174	PCSK9
693	ENSG00000162402	USP24
694	ENSG00000162407	PLPP3
695	ENSG00000162409	PRKAA2
696	ENSG00000187889	FYB2
697	ENSG00000157131	C8A
698	ENSG00000021852	C8B
699	ENSG00000173406	DAB1
700	ENSG00000162600	OMA1
701	ENSG00000184292	TACSTD2
702	ENSG00000162601	MYSM1
703	ENSG00000177606	JUN
704	ENSG00000172456	FGGY
705	ENSG00000134709	HOOK1
706	ENSG00000134716	CYP2J2
707	ENSG00000162598	C1orf87
708	ENSG00000162599	NFIA
709	ENSG00000162604	TM2D1
710	ENSG00000132849	PATJ
711	ENSG00000240563	L1TD1
712	ENSG00000132854	KANK4
713	ENSG00000162607	USP1
714	ENSG00000116641	DOCK7
715	ENSG00000132855	ANGPTL3
716	ENSG00000125703	ATG4C
717	ENSG00000187140	FOXD3
718	ENSG00000088035	ALG6
719	ENSG00000142856	ITGB3BP
720	ENSG00000203965	EFCAB7
721	ENSG00000079739	PGM1
722	ENSG00000185483	ROR1
723	ENSG00000177414	UBE2U
724	ENSG00000158966	CACHD1
725	ENSG00000162437	RAVER2
726	ENSG00000162434	JAK1
727	ENSG00000162433	AK4
728	ENSG00000116675	DNAJC6
729	ENSG00000213625	LEPROT
730	ENSG00000116678	LEPR
731	ENSG00000184588	PDE4B
732	ENSG00000118473	SGIP1
733	ENSG00000152760	DYNLT5
734	ENSG00000172410	INSL5
735	ENSG00000152763	DNAI4
736	ENSG00000198160	MIER1
737	ENSG00000116704	SLC35D1
738	ENSG00000203963	C1orf141
739	ENSG00000162594	IL23R
740	ENSG00000081985	IL12RB2
741	ENSG00000142864	SERBP1
742	ENSG00000116717	GADD45A
743	ENSG00000172380	GNG12
744	ENSG00000162595	DIRAS3
745	ENSG00000116729	WLS
746	ENSG00000116745	RPE65
747	ENSG00000024526	DEPDC1
748	ENSG00000066557	LRRC40
749	ENSG00000116754	SRSF11
750	ENSG00000118454	ANKRD13C
751	ENSG00000116761	CTH
752	ENSG00000050628	PTGER3
753	ENSG00000132485	ZRANB2
754	ENSG00000162620	LRRIQ3
755	ENSG00000254685	FPGT
756	ENSG00000116783	TNNI3K
757	ENSG00000162621	LRRC53
758	ENSG00000178965	ERICH3
759	ENSG00000116791	CRYZ
760	ENSG00000162623	TYW3
761	ENSG00000162624	LHX8
762	ENSG00000137968	SLC44A5
763	ENSG00000117054	ACADM
764	ENSG00000137955	RABGGTB
765	ENSG00000057468	MSH4
766	ENSG00000154007	ASB17
767	ENSG00000184005	ST6GALNAC3
768	ENSG00000117069	ST6GALNAC5
769	ENSG00000142892	PIGK
770	ENSG00000154027	AK5
771	ENSG00000036549	ZZZ3
772	ENSG00000077254	USP33
773	ENSG00000180488	MIGA1
774	ENSG00000162614	NEXN
775	ENSG00000162613	FUBP1
776	ENSG00000162616	DNAJB4
777	ENSG00000137960	GIPC2
778	ENSG00000122420	PTGFR
779	ENSG00000137959	IFI44L
780	ENSG00000137965	IFI44
781	ENSG00000162618	ADGRL4
782	ENSG00000117114	ADGRL2
783	ENSG00000137941	TTLL7
784	ENSG00000142875	PRKACB
785	ENSG00000203943	SAMD13
786	ENSG00000137976	DNASE2B
787	ENSG00000117133	RPF1
788	ENSG00000174021	GNG5
789	ENSG00000122432	SPATA1
790	ENSG00000117151	CTBS
791	ENSG00000117155	SSX2IP
792	ENSG00000171517	LPAR3
793	ENSG00000153898	MCOLN2
794	ENSG00000162643	DNAI3
795	ENSG00000055732	MCOLN3
796	ENSG00000097096	SYDE2
797	ENSG00000162642	C1orf52
798	ENSG00000142867	BCL10
799	ENSG00000153904	DDAH1
800	ENSG00000142871	CCN1
801	ENSG00000117174	ZNHIT6
802	ENSG00000171502	COL24A1
803	ENSG00000122417	ODF2L
804	ENSG00000137975	CLCA2
805	ENSG00000016490	CLCA1
806	ENSG00000016602	CLCA4
807	ENSG00000097033	SH3GLB1
808	ENSG00000183291	SELENOF
809	ENSG00000153936	HS2ST1
810	ENSG00000143013	LMO4
811	ENSG00000065243	PKN2
812	ENSG00000137947	GTF2B
813	ENSG00000137944	KYAT3
814	ENSG00000213516	RBMXL1
815	ENSG00000117226	GBP3
816	ENSG00000117228	GBP1
817	ENSG00000162645	GBP2
818	ENSG00000213512	GBP7
819	ENSG00000162654	GBP4
820	ENSG00000154451	GBP5
821	ENSG00000183347	GBP6
822	ENSG00000197147	LRRC8B
823	ENSG00000171488	LRRC8C
